ENSG00000252365	ENSXETG00000029272	ENSDARG00000083784
ENSG00000251715	ENSXETG00000029415	ENSDARG00000084784
ENSG00000251715	ENSXETG00000029415	ENSDARG00000084828
ENSG00000251715	ENSXETG00000029465	ENSDARG00000084784
ENSG00000251715	ENSXETG00000029465	ENSDARG00000084828
ENSG00000199282	ENSXETG00000029426	ENSDARG00000081895
ENSG00000199282	ENSXETG00000029426	ENSDARG00000084209
ENSG00000199282	ENSXETG00000029474	ENSDARG00000081895
ENSG00000199282	ENSXETG00000029474	ENSDARG00000084209
ENSG00000199282	ENSXETG00000029437	ENSDARG00000081895
ENSG00000199282	ENSXETG00000029437	ENSDARG00000084209
ENSG00000175063	ENSXETG00000014881	ENSDARG00000035770
ENSG00000124091	ENSXETG00000033795	ENSDARG00000040608
ENSG00000201253	ENSXETG00000030916	ENSDARG00000081552
ENSG00000167220	ENSXETG00000020183	ENSDARG00000024728
ENSG00000154723	ENSXETG00000013610	ENSDARG00000089853
ENSG00000154723	ENSXETG00000013610	ENSDARG00000077967
ENSG00000154723	ENSXETG00000013610	ENSDARG00000091397
ENSG00000154723	ENSXETG00000013610	ENSDARG00000014313
ENSG00000171448	ENSXETG00000020531	ENSDARG00000028949
ENSG00000104047	ENSXETG00000008787	ENSDARG00000059386
ENSG00000088882	ENSXETG00000012756	ENSDARG00000073716
ENSG00000088882	ENSXETG00000012756	ENSDARG00000074358
ENSG00000104140	ENSXETG00000021572	ENSDARG00000070434
ENSG00000140564	ENSXETG00000015462	ENSDARG00000070971
ENSG00000140564	ENSXETG00000015462	ENSDARG00000062909
ENSG00000140157	ENSXETG00000004144	ENSDARG00000055912
ENSG00000267228	ENSXETG00000021523	ENSDARG00000039601
ENSG00000154727	ENSXETG00000013611	ENSDARG00000069289
ENSG00000087510	ENSXETG00000012025	ENSDARG00000040606
ENSG00000101470	ENSXETG00000014877	ENSDARG00000070835
ENSG00000101470	ENSXETG00000014877	ENSDARG00000095002
ENSG00000104142	ENSXETG00000021575	ENSDARG00000070433
ENSG00000271982	ENSXETG00000030918	ENSDARG00000081849
ENSG00000238390	ENSXETG00000029680	ENSDARG00000083986
ENSG00000011454	ENSXETG00000032226	ENSDARG00000010297
ENSG00000134049	ENSXETG00000021523	ENSDARG00000039601
ENSG00000128917	ENSXETG00000021584	ENSDARG00000070425
ENSG00000180777	ENSXETG00000021831	ENSDARG00000013015
ENSG00000101144	ENSXETG00000011272	ENSDARG00000063230
ENSG00000215474	ENSXETG00000030402	ENSDARG00000063614
ENSG00000188394	ENSXETG00000001666	ENSDARG00000060346
ENSG00000172785	ENSXETG00000001656	ENSDARG00000004318
ENSG00000239183	ENSXETG00000029705	ENSDARG00000082290
ENSG00000200792	ENSXETG00000029389	ENSDARG00000086774
ENSG00000132635	ENSXETG00000012763	ENSDARG00000002685
ENSG00000175387	ENSXETG00000007804	ENSDARG00000006389
ENSG00000104043	ENSXETG00000008789	ENSDARG00000079453
ENSG00000165209	ENSXETG00000007590	ENSDARG00000021455
ENSG00000182511	ENSXETG00000015460	ENSDARG00000011449
ENSG00000054796	ENSXETG00000011271	ENSDARG00000013837
ENSG00000074410	ENSXETG00000009722	ENSDARG00000045644
ENSG00000087495	ENSXETG00000005049	ENSDARG00000058243
ENSG00000087495	ENSXETG00000005049	ENSDARG00000019304
ENSG00000067900	ENSXETG00000003151	ENSDARG00000058993
ENSG00000128965	ENSXETG00000021601	ENSDARG00000070426
ENSG00000252508	ENSXETG00000032084	ENSDARG00000084894
ENSG00000124104	ENSXETG00000024567	ENSDARG00000062770
ENSG00000148204	ENSXETG00000002514	ENSDARG00000060081
ENSG00000148204	ENSXETG00000002514	ENSDARG00000060106
ENSG00000148204	ENSXETG00000002514	ENSDARG00000089347
ENSG00000148204	ENSXETG00000002514	ENSDARG00000051896
ENSG00000148204	ENSXETG00000002514	ENSDARG00000016744
ENSG00000148204	ENSXETG00000002514	ENSDARG00000040013
ENSG00000148204	ENSXETG00000002514	ENSDARG00000087558
ENSG00000101146	ENSXETG00000011270	ENSDARG00000007196
ENSG00000215305	ENSXETG00000027061	ENSDARG00000059902
ENSG00000153666	ENSXETG00000012915	ENSDARG00000063197
ENSG00000142192	ENSXETG00000013612	ENSDARG00000059036
ENSG00000142192	ENSXETG00000013612	ENSDARG00000055543
ENSG00000142192	ENSXETG00000013612	ENSDARG00000026738
ENSG00000101473	ENSXETG00000014873	ENSDARG00000014138
ENSG00000128908	ENSXETG00000034272	ENSDARG00000070432
ENSG00000140284	ENSXETG00000016111	ENSDARG00000088119
ENSG00000140284	ENSXETG00000016111	ENSDARG00000013177
ENSG00000140284	ENSXETG00000016111	ENSDARG00000067520
ENSG00000198033	ENSXETG00000019254	ENSDARG00000094466
ENSG00000198033	ENSXETG00000019254	ENSDARG00000074289
ENSG00000199165	ENSXETG00000029085	ENSDARG00000083270
ENSG00000199165	ENSXETG00000029085	ENSDARG00000081975
ENSG00000199165	ENSXETG00000029085	ENSDARG00000082287
ENSG00000132819	ENSXETG00000011268	ENSDARG00000058818
ENSG00000107099	ENSXETG00000001648	ENSDARG00000055225
ENSG00000119522	ENSXETG00000020779	ENSDARG00000014592
ENSG00000199133	ENSXETG00000029171	ENSDARG00000082908
ENSG00000141449	ENSXETG00000003149	ENSDARG00000039196
ENSG00000166265	ENSXETG00000013630	ENSDARG00000087505
ENSG00000196074	ENSXETG00000031145	ENSDARG00000088950
ENSG00000140287	ENSXETG00000019831	ENSDARG00000075454
ENSG00000132958	ENSXETG00000020701	ENSDARG00000056985
ENSG00000140455	ENSXETG00000009728	ENSDARG00000045641
ENSG00000184828	ENSXETG00000020303	ENSDARG00000089716
ENSG00000207563	ENSXETG00000028989	ENSDARG00000081915
ENSG00000207563	ENSXETG00000028989	ENSDARG00000081514
ENSG00000207864	ENSXETG00000028981	ENSDARG00000080833
ENSG00000154734	ENSXETG00000013631	ENSDARG00000041566
ENSG00000106689	ENSXETG00000020776	ENSDARG00000031222
ENSG00000259455	ENSXETG00000012915	ENSDARG00000063197
ENSG00000207778	ENSXETG00000028985	ENSDARG00000083634
ENSG00000261739	ENSXETG00000012915	ENSDARG00000063197
ENSG00000196199	ENSXETG00000032076	ENSDARG00000005576
ENSG00000196199	ENSXETG00000032123	ENSDARG00000005576
ENSG00000178997	ENSXETG00000017895	ENSDARG00000067759
ENSG00000196547	ENSXETG00000015458	ENSDARG00000063101
ENSG00000107104	ENSXETG00000002278	ENSDARG00000060102
ENSG00000174450	ENSXETG00000012915	ENSDARG00000063197
ENSG00000119408	ENSXETG00000011464	ENSDARG00000037963
ENSG00000207635	ENSXETG00000029201	ENSDARG00000080181
ENSG00000207635	ENSXETG00000029201	ENSDARG00000087228
ENSG00000207635	ENSXETG00000029201	ENSDARG00000081473
ENSG00000137090	ENSXETG00000002277	ENSDARG00000007349
ENSG00000104064	ENSXETG00000016116	ENSDARG00000089786
ENSG00000179455	ENSXETG00000027117	ENSDARG00000041665
ENSG00000134030	ENSXETG00000026836	ENSDARG00000090617
ENSG00000064218	ENSXETG00000015285	ENSDARG00000035290
ENSG00000200444	ENSXETG00000029836	ENSDARG00000084494
ENSG00000132950	ENSXETG00000002643	ENSDARG00000027353
ENSG00000128322	ENSXETG00000024932	ENSDARG00000094966
ENSG00000198862	ENSXETG00000020250	ENSDARG00000003984
ENSG00000254585	ENSXETG00000022031	ENSDARG00000058212
ENSG00000182636	ENSXETG00000022031	ENSDARG00000058212
ENSG00000136930	ENSXETG00000011463	ENSDARG00000037962
ENSG00000173253	ENSXETG00000033983	ENSDARG00000015072
ENSG00000187446	ENSXETG00000017901	ENSDARG00000052859
ENSG00000124257	ENSXETG00000014872	ENSDARG00000062446
ENSG00000251870	ENSXETG00000029485	ENSDARG00000080143
ENSG00000180264	ENSXETG00000011460	ENSDARG00000077310
ENSG00000156253	ENSXETG00000020254	ENSDARG00000055426
ENSG00000136931	ENSXETG00000011456	ENSDARG00000023362
ENSG00000136931	ENSXETG00000011456	ENSDARG00000017704
ENSG00000136931	ENSXETG00000011456	ENSDARG00000039116
ENSG00000101665	ENSXETG00000020317	ENSDARG00000016858
ENSG00000132670	ENSXETG00000017982	ENSDARG00000001769
ENSG00000132825	ENSXETG00000016808	ENSDARG00000077513
ENSG00000132825	ENSXETG00000016808	ENSDARG00000076248
ENSG00000128739	ENSXETG00000027266	ENSDARG00000011125
ENSG00000201221	ENSXETG00000031306	ENSDARG00000080132
ENSG00000148200	ENSXETG00000008578	ENSDARG00000018030
ENSG00000148200	ENSXETG00000008578	ENSDARG00000014480
ENSG00000124215	ENSXETG00000026460	ENSDARG00000078404
ENSG00000064601	ENSXETG00000014870	ENSDARG00000087307
ENSG00000064601	ENSXETG00000014870	ENSDARG00000078382
ENSG00000199683	ENSXETG00000028764	ENSDARG00000081270
ENSG00000185585	ENSXETG00000008581	ENSDARG00000005648
ENSG00000156256	ENSXETG00000020255	ENSDARG00000060633
ENSG00000141446	ENSXETG00000032322	ENSDARG00000077057
ENSG00000121741	ENSXETG00000002643	ENSDARG00000027353
ENSG00000251737	ENSXETG00000029849	ENSDARG00000081307
ENSG00000251737	ENSXETG00000029658	ENSDARG00000081307
ENSG00000137804	ENSXETG00000027499	ENSDARG00000002403
ENSG00000197361	ENSXETG00000009733	ENSDARG00000096995
ENSG00000136918	ENSXETG00000016844	ENSDARG00000044801
ENSG00000235408	ENSXETG00000028168	ENSDARG00000080532
ENSG00000235408	ENSXETG00000028168	ENSDARG00000080855
ENSG00000225091	ENSXETG00000028168	ENSDARG00000080532
ENSG00000225091	ENSXETG00000028168	ENSDARG00000080855
ENSG00000201512	ENSXETG00000028168	ENSDARG00000080532
ENSG00000201512	ENSXETG00000028168	ENSDARG00000080855
ENSG00000200354	ENSXETG00000028168	ENSDARG00000080532
ENSG00000200354	ENSXETG00000028168	ENSDARG00000080855
ENSG00000201811	ENSXETG00000029042	ENSDARG00000080532
ENSG00000201811	ENSXETG00000029042	ENSDARG00000080855
ENSG00000201811	ENSXETG00000029776	ENSDARG00000080532
ENSG00000201811	ENSXETG00000029776	ENSDARG00000080855
ENSG00000080503	ENSXETG00000015299	ENSDARG00000008904
ENSG00000136942	ENSXETG00000016843	ENSDARG00000018334
ENSG00000207935	ENSXETG00000028991	ENSDARG00000081105
ENSG00000136950	ENSXETG00000016842	ENSDARG00000035433
ENSG00000136950	ENSXETG00000016842	ENSDARG00000041720
ENSG00000167088	ENSXETG00000027354	ENSDARG00000011648
ENSG00000138592	ENSXETG00000016117	ENSDARG00000063719
ENSG00000179242	ENSXETG00000001990	ENSDARG00000015002
ENSG00000136935	ENSXETG00000016840	ENSDARG00000008979
ENSG00000173281	ENSXETG00000008154	ENSDARG00000044691
ENSG00000199266	ENSXETG00000028168	ENSDARG00000080532
ENSG00000199266	ENSXETG00000028168	ENSDARG00000080855
ENSG00000103657	ENSXETG00000009734	ENSDARG00000077901
ENSG00000212454	ENSXETG00000028179	ENSDARG00000084957
ENSG00000158201	ENSXETG00000003147	ENSDARG00000018809
ENSG00000250479	ENSXETG00000022956	ENSDARG00000010717
ENSG00000124253	ENSXETG00000011266	ENSDARG00000013522
ENSG00000121743	ENSXETG00000002644	ENSDARG00000021889
ENSG00000141627	ENSXETG00000020310	ENSDARG00000042555
ENSG00000222612	ENSXETG00000029753	ENSDARG00000085174
ENSG00000222612	ENSXETG00000029676	ENSDARG00000085174
ENSG00000222612	ENSXETG00000029802	ENSDARG00000085174
ENSG00000222612	ENSXETG00000029695	ENSDARG00000085174
ENSG00000222612	ENSXETG00000029643	ENSDARG00000085174
ENSG00000165474	ENSXETG00000026112	ENSDARG00000042707
ENSG00000140553	ENSXETG00000015452	ENSDARG00000003546
ENSG00000102309	ENSXETG00000022578	ENSDARG00000004527
ENSG00000099953	ENSXETG00000022372	ENSDARG00000016718
ENSG00000099953	ENSXETG00000022372	ENSDARG00000026325
ENSG00000121742	ENSXETG00000026112	ENSDARG00000042707
ENSG00000173611	ENSXETG00000016827	ENSDARG00000060865
ENSG00000156261	ENSXETG00000020262	ENSDARG00000008243
ENSG00000238569	ENSXETG00000029849	ENSDARG00000081307
ENSG00000238569	ENSXETG00000029658	ENSDARG00000081307
ENSG00000173273	ENSXETG00000008155	ENSDARG00000062897
ENSG00000173273	ENSXETG00000008155	ENSDARG00000077650
ENSG00000130699	ENSXETG00000001996	ENSDARG00000068192
ENSG00000130699	ENSXETG00000001996	ENSDARG00000036750
ENSG00000147852	ENSXETG00000011709	ENSDARG00000006257
ENSG00000186871	ENSXETG00000022574	ENSDARG00000002479
ENSG00000252193	ENSXETG00000029691	ENSDARG00000086888
ENSG00000165475	ENSXETG00000002645	ENSDARG00000003675
ENSG00000035664	ENSXETG00000009747	ENSDARG00000018345
ENSG00000035664	ENSXETG00000009747	ENSDARG00000061096
ENSG00000137806	ENSXETG00000017902	ENSDARG00000025549
ENSG00000099956	ENSXETG00000022368	ENSDARG00000011594
ENSG00000099956	ENSXETG00000022368	ENSDARG00000033647
ENSG00000198034	ENSXETG00000027073	ENSDARG00000014690
ENSG00000119414	ENSXETG00000016831	ENSDARG00000002949
ENSG00000137815	ENSXETG00000017903	ENSDARG00000008947
ENSG00000101752	ENSXETG00000003146	ENSDARG00000055581
ENSG00000101752	ENSXETG00000003146	ENSDARG00000087895
ENSG00000168263	ENSXETG00000011708	ENSDARG00000062906
ENSG00000168263	ENSXETG00000011708	ENSDARG00000076644
ENSG00000215472	ENSXETG00000020308	ENSDARG00000057556
ENSG00000101405	ENSXETG00000027327	ENSDARG00000042845
ENSG00000149657	ENSXETG00000001997	ENSDARG00000025386
ENSG00000272015	ENSXETG00000029030	ENSDARG00000081943
ENSG00000101200	ENSXETG00000027327	ENSDARG00000042845
ENSG00000136933	ENSXETG00000016839	ENSDARG00000039840
ENSG00000147535	ENSXETG00000015185	ENSDARG00000057672
ENSG00000221366	ENSXETG00000029391	ENSDARG00000081904
ENSG00000080608	ENSXETG00000011707	ENSDARG00000087779
ENSG00000032742	ENSXETG00000031455	ENSDARG00000027234
ENSG00000044574	ENSXETG00000016838	ENSDARG00000004665
ENSG00000156265	ENSXETG00000020265	ENSDARG00000069143
ENSG00000207603	ENSXETG00000028970	ENSDARG00000081109
ENSG00000124225	ENSXETG00000011263	ENSDARG00000039325
ENSG00000175806	ENSXETG00000000700	ENSDARG00000029587
ENSG00000172458	ENSXETG00000033334	ENSDARG00000010700
ENSG00000028528	ENSXETG00000010653	ENSDARG00000079116
ENSG00000028528	ENSXETG00000010653	ENSDARG00000071031
ENSG00000133460	ENSXETG00000022360	ENSDARG00000063288
ENSG00000092439	ENSXETG00000022057	ENSDARG00000036232
ENSG00000169762	ENSXETG00000020338	ENSDARG00000061143
ENSG00000169762	ENSXETG00000020338	ENSDARG00000073999
ENSG00000150456	ENSXETG00000033485	ENSDARG00000040584
ENSG00000265681	ENSXETG00000020308	ENSDARG00000057556
ENSG00000114062	ENSXETG00000024326	ENSDARG00000055737
ENSG00000209042	ENSXETG00000029309	ENSDARG00000081946
ENSG00000222365	ENSXETG00000029279	ENSDARG00000083266
ENSG00000222365	ENSXETG00000029279	ENSDARG00000080372
ENSG00000222365	ENSXETG00000029279	ENSDARG00000081450
ENSG00000156273	ENSXETG00000020266	ENSDARG00000062553
ENSG00000156273	ENSXETG00000020266	ENSDARG00000002196
ENSG00000212304	ENSXETG00000029246	ENSDARG00000081802
ENSG00000080298	ENSXETG00000011698	ENSDARG00000014550
ENSG00000207725	ENSXETG00000029163	ENSDARG00000081342
ENSG00000100979	ENSXETG00000014867	ENSDARG00000035768
ENSG00000137825	ENSXETG00000002921	ENSDARG00000042856
ENSG00000186416	ENSXETG00000007438	ENSDARG00000055040
ENSG00000185019	ENSXETG00000027330	ENSDARG00000058563
ENSG00000068308	ENSXETG00000030196	ENSDARG00000059006
ENSG00000068308	ENSXETG00000030196	ENSDARG00000056840
ENSG00000123908	ENSXETG00000023755	ENSDARG00000061268
ENSG00000251357	ENSXETG00000022360	ENSDARG00000062873
ENSG00000270022	ENSXETG00000030066	ENSDARG00000080745
ENSG00000240972	ENSXETG00000030275	ENSDARG00000071336
ENSG00000141448	ENSXETG00000003144	ENSDARG00000035831
ENSG00000215251	ENSXETG00000027328	ENSDARG00000091717
ENSG00000124224	ENSXETG00000002442	ENSDARG00000079289
ENSG00000062524	ENSXETG00000000055	ENSDARG00000042861
ENSG00000133433	ENSXETG00000024924	ENSDARG00000017388
ENSG00000088899	ENSXETG00000017977	ENSDARG00000058558
ENSG00000088899	ENSXETG00000017977	ENSDARG00000059134
ENSG00000212710	ENSXETG00000011442	ENSDARG00000023516
ENSG00000107249	ENSXETG00000011692	ENSDARG00000069726
ENSG00000150457	ENSXETG00000009599	ENSDARG00000078864
ENSG00000099974	ENSXETG00000022357	ENSDARG00000044751
ENSG00000198171	ENSXETG00000021528	ENSDARG00000037172
ENSG00000099977	ENSXETG00000022357	ENSDARG00000044751
ENSG00000201659	ENSXETG00000030162	ENSDARG00000080745
ENSG00000201659	ENSXETG00000028905	ENSDARG00000080745
ENSG00000201659	ENSXETG00000030139	ENSDARG00000080745
ENSG00000201659	ENSXETG00000031769	ENSDARG00000080745
ENSG00000201659	ENSXETG00000032803	ENSDARG00000080745
ENSG00000201659	ENSXETG00000031715	ENSDARG00000080745
ENSG00000201659	ENSXETG00000028244	ENSDARG00000080745
ENSG00000201659	ENSXETG00000034293	ENSDARG00000080745
ENSG00000150459	ENSXETG00000009598	ENSDARG00000057854
ENSG00000145321	ENSXETG00000020892	ENSDARG00000089310
ENSG00000252089	ENSXETG00000033693	ENSDARG00000084894
ENSG00000215750	ENSXETG00000016064	ENSDARG00000028899
ENSG00000237375	ENSXETG00000021831	ENSDARG00000013015
ENSG00000099984	ENSXETG00000022358	ENSDARG00000095464
ENSG00000171189	ENSXETG00000011804	ENSDARG00000040627
ENSG00000171189	ENSXETG00000011804	ENSDARG00000069139
ENSG00000198986	ENSXETG00000029087	ENSDARG00000083280
ENSG00000165219	ENSXETG00000005493	ENSDARG00000089695
ENSG00000165219	ENSXETG00000005493	ENSDARG00000090183
ENSG00000101670	ENSXETG00000022391	ENSDARG00000031044
ENSG00000207875	ENSXETG00000029130	ENSDARG00000081807
ENSG00000207875	ENSXETG00000029130	ENSDARG00000082399
ENSG00000165480	ENSXETG00000009595	ENSDARG00000069917
ENSG00000171056	ENSXETG00000000693	ENSDARG00000030125
ENSG00000106688	ENSXETG00000011685	ENSDARG00000020212
ENSG00000172007	ENSXETG00000016920	ENSDARG00000052290
ENSG00000184674	ENSXETG00000022358	ENSDARG00000042428
ENSG00000258724	ENSXETG00000000693	ENSDARG00000030125
ENSG00000101773	ENSXETG00000031362	ENSDARG00000043480
ENSG00000200206	ENSXETG00000029243	ENSDARG00000083457
ENSG00000184508	ENSXETG00000009763	ENSDARG00000020473
ENSG00000124209	ENSXETG00000002439	ENSDARG00000015807
ENSG00000147548	ENSXETG00000015186	ENSDARG00000062765
ENSG00000157734	ENSXETG00000010652	ENSDARG00000053204
ENSG00000185015	ENSXETG00000026010	ENSDARG00000014488
ENSG00000185015	ENSXETG00000026010	ENSDARG00000011166
ENSG00000156282	ENSXETG00000030988	ENSDARG00000040628
ENSG00000156282	ENSXETG00000031350	ENSDARG00000040628
ENSG00000156282	ENSXETG00000007345	ENSDARG00000040628
ENSG00000254093	ENSXETG00000000688	ENSDARG00000023532
ENSG00000156284	ENSXETG00000030988	ENSDARG00000040628
ENSG00000156284	ENSXETG00000031350	ENSDARG00000040628
ENSG00000156284	ENSXETG00000007345	ENSDARG00000040628
ENSG00000167702	ENSXETG00000031391	ENSDARG00000053431
ENSG00000166965	ENSXETG00000030726	ENSDARG00000086964
ENSG00000166965	ENSXETG00000030726	ENSDARG00000071074
ENSG00000207703	ENSXETG00000029091	ENSDARG00000083129
ENSG00000207703	ENSXETG00000029091	ENSDARG00000080960
ENSG00000166794	ENSXETG00000010651	ENSDARG00000092798
ENSG00000145391	ENSXETG00000016939	ENSDARG00000038858
ENSG00000239182	ENSXETG00000029605	ENSDARG00000080450
ENSG00000171044	ENSXETG00000000686	ENSDARG00000043410
ENSG00000171044	ENSXETG00000000686	ENSDARG00000020443
ENSG00000180776	ENSXETG00000031810	ENSDARG00000055066
ENSG00000180776	ENSXETG00000031810	ENSDARG00000058178
ENSG00000180776	ENSXETG00000026762	ENSDARG00000055066
ENSG00000180776	ENSXETG00000026762	ENSDARG00000058178
ENSG00000180776	ENSXETG00000027185	ENSDARG00000055066
ENSG00000180776	ENSXETG00000027185	ENSDARG00000058178
ENSG00000180776	ENSXETG00000026080	ENSDARG00000055066
ENSG00000180776	ENSXETG00000026080	ENSDARG00000058178
ENSG00000180776	ENSXETG00000007136	ENSDARG00000055066
ENSG00000180776	ENSXETG00000007136	ENSDARG00000058178
ENSG00000180776	ENSXETG00000011316	ENSDARG00000055066
ENSG00000180776	ENSXETG00000011316	ENSDARG00000058178
ENSG00000180776	ENSXETG00000026107	ENSDARG00000055066
ENSG00000180776	ENSXETG00000026107	ENSDARG00000058178
